Id,0,1,2,3,4,5,6,7,8,Category
0,50,21,77,0,28,0,27,48,22,2
1,55,0,92,0,0,26,36,92,56,4
2,53,0,82,0,52,-5,29,30,2,1
3,37,0,76,0,28,18,40,48,8,1
4,37,0,79,0,34,-26,43,46,2,1
5,85,0,88,-4,6,1,3,83,80,5
6,56,0,81,0,-4,11,25,86,62,4
7,55,-1,95,-3,54,-4,40,41,2,1
8,53,8,77,0,28,0,23,48,24,4
9,37,0,101,-7,28,0,64,73,8,1
10,37,0,78,-2,12,0,42,65,24,1
11,45,0,84,0,46,20,38,37,0,1
12,38,2,77,0,38,7,39,38,0,1
13,37,0,78,0,-2,5,41,81,40,1
14,41,0,100,0,38,-8,59,61,2,1
15,41,0,89,1,38,-16,48,50,2,1
16,47,0,85,-2,46,-4,38,39,0,1
17,49,0,79,0,46,-5,30,32,2,1
18,49,3,82,0,50,4,33,33,0,1
19,37,-318,105,-2,36,-4,68,69,0,1
20,44,3,77,0,44,2,33,33,0,1
21,106,2,108,0,70,0,1,38,36,5
22,37,-5,76,0,28,0,40,48,8,1
23,49,0,100,0,50,19,52,51,0,1
24,45,-1,87,-2,44,-4,43,43,0,1
25,37,4,80,0,-2,0,43,83,40,1
26,55,-1,98,0,52,8,42,46,4,4
27,55,0,86,8,54,0,31,32,0,1
28,55,3,88,3,54,0,32,33,2,1
29,37,0,74,0,26,-1,38,48,10,1
30,37,0,106,0,36,3,68,69,2,1
31,49,0,107,0,46,-16,58,60,2,1
32,79,5,83,0,-46,0,4,130,126,5
33,51,0,79,0,52,29,28,27,0,1
34,59,4,84,0,60,24,25,24,0,1
35,37,0,108,0,30,-21,71,77,6,1
36,56,3,97,0,46,9,41,51,10,4
37,39,5,77,0,38,0,37,38,0,1
38,51,-5,81,0,52,0,30,30,0,1
39,49,0,77,0,46,-9,29,31,2,1
40,46,2,77,0,44,-19,32,34,2,1
41,56,0,81,0,56,0,24,24,0,1
42,56,0,79,0,16,3,23,63,40,4
43,37,0,105,0,34,4,68,71,4,1
44,76,0,81,-2,-40,13,5,122,118,5
45,56,0,80,0,56,7,24,23,0,1
46,41,2,76,0,42,11,35,35,0,1
47,41,1,85,0,38,0,44,46,2,1
48,56,-4,97,0,52,-2,41,45,4,4
49,49,0,95,1,50,2,46,46,0,1
50,37,2,76,0,36,0,38,39,2,1
51,56,1,99,0,50,16,42,49,8,4
52,56,-4,88,0,56,0,31,31,0,1
53,37,-3,81,-2,38,-9,43,42,0,1
54,47,0,84,4,46,0,38,38,0,1
55,41,1,86,2,42,14,45,45,0,1
56,53,3,81,0,54,0,27,26,0,1
57,47,5,79,0,46,0,32,32,0,1
58,104,7,105,7,70,0,1,35,34,5
59,101,-3,102,-4,72,0,1,29,28,5
60,45,0,86,0,44,-17,41,42,2,1
61,42,4,77,0,42,1,35,35,0,1
62,45,0,79,0,44,-4,34,35,2,1
63,37,0,80,0,36,15,43,44,2,1
64,56,0,96,-1,44,0,40,52,12,4
65,56,0,81,0,-10,-3,25,92,66,4
66,42,0,83,2,42,0,41,42,2,1
67,51,1,88,0,52,7,37,37,0,1
68,49,3,82,0,46,-8,33,35,2,1
69,41,1,86,3,42,6,45,45,0,1
70,37,0,77,0,336,4910,41,-258,-298,1
71,49,0,84,0,46,-4,36,38,2,1
72,37,-1,77,-3,34,-6,40,43,2,1
73,41,0,79,0,38,-23,38,41,2,1
74,51,0,79,0,52,2,27,27,0,1
75,55,-1,79,-4,20,-12,24,59,34,4
76,41,0,77,0,42,5,37,36,0,1
77,46,-3,80,0,46,0,34,34,0,1
78,56,0,79,0,-2,-24,24,82,58,4
79,44,0,82,-1,44,0,38,38,0,1
80,45,0,83,0,46,31,37,36,0,1
81,37,0,77,-1,36,4,40,41,0,1
82,37,0,75,-1,36,0,38,39,0,1
83,37,1,77,-2,34,0,40,43,2,1
84,51,0,79,0,50,-6,28,30,2,1
85,46,-4,76,-1,46,0,29,29,0,1
86,49,0,77,5,50,5,28,28,0,1
87,45,0,108,0,44,-3,62,64,2,1
88,42,0,79,-2,42,0,36,37,2,1
89,37,0,78,0,20,-10,41,57,16,1
90,37,0,76,-3,36,-10,39,40,2,1
91,53,5,84,0,52,-5,31,32,2,1
92,38,4,76,0,38,4,38,37,0,1
93,40,0,80,0,38,-2,40,41,2,1
94,47,2,95,3,46,0,48,49,0,1
95,45,0,79,5,44,0,34,35,2,1
96,41,-1,86,0,42,0,45,45,0,1
97,55,0,95,0,36,13,40,59,20,4
98,56,0,95,0,56,15,40,39,0,1
99,51,-3,83,0,50,-14,32,33,2,1
100,37,0,75,0,34,10,38,41,2,1
101,37,0,75,0,28,16,38,46,8,1
102,81,-2,84,0,-18,-30,4,103,98,5
103,43,0,95,-4,42,-4,52,54,2,1
104,41,0,84,2,42,25,43,43,0,1
105,49,0,87,-7,46,-25,38,41,2,1
106,49,0,83,0,46,-14,34,37,2,1
107,37,-3,77,0,20,0,40,56,16,1
108,81,0,84,0,-12,29,4,97,94,5
109,55,1,84,0,54,-1,29,30,2,1
110,55,0,96,0,46,23,41,50,8,4
111,42,0,81,-2,42,-4,39,39,0,1
112,79,0,83,0,-40,3,4,125,120,5
113,59,-5,84,0,60,6,25,24,0,1
114,56,-3,87,0,56,0,31,30,0,1
115,55,0,82,1,-10,0,26,92,66,4
116,56,0,92,0,-2,-4,36,95,58,4
117,46,0,80,0,46,0,34,34,0,1
118,56,0,78,0,8,-19,22,70,48,4
119,37,0,83,0,34,7,47,50,2,1
120,37,0,77,0,2,17,40,74,34,1
121,53,-1,87,-5,52,-10,34,35,2,1
122,37,-1,79,-4,36,-6,42,43,2,1
123,44,-1,82,-4,44,0,38,38,0,1
124,48,-3,95,0,46,-4,47,49,2,1
125,42,5,79,5,42,0,37,38,0,1
126,37,0,106,-1,34,0,68,72,4,1
127,37,0,81,5,36,-3,43,44,2,1
128,44,-4,82,-3,44,0,38,38,0,1
129,45,0,83,0,46,19,38,37,0,1
130,55,2,83,-2,54,0,28,29,0,1
131,55,0,77,0,-14,-4,21,92,70,4
132,41,3,78,0,38,-1,37,39,2,1
133,37,0,78,-5,8,0,41,70,30,1
134,57,3,91,0,56,0,34,34,0,1
135,37,0,76,0,38,14,38,37,0,1
136,37,0,77,0,8,-8,41,70,28,1
137,37,0,76,-5,28,6,39,47,8,1
138,49,4,84,0,50,2,35,35,0,1
139,37,0,77,5,-12,-10,41,90,50,1
140,50,-4,85,0,50,0,35,36,2,1
141,51,-2,87,0,52,5,36,35,0,1
142,37,0,93,0,12,7,56,81,24,1
143,56,0,82,1,54,-12,26,28,2,1
144,43,0,81,3,42,-4,38,40,2,1
145,55,-2,108,0,54,-3,52,53,2,1
146,37,0,81,-1,36,-18,43,44,2,1
147,45,-1,78,-3,44,-5,33,34,2,1
148,41,0,77,7,38,0,36,38,2,1
149,48,1,87,0,46,0,39,41,2,1
150,43,0,81,0,44,15,37,37,0,1
151,56,0,96,0,52,-3,40,44,4,4
152,37,0,92,0,24,3,55,69,14,1
153,46,1,83,0,44,-9,37,39,2,1
154,49,-2,77,3,46,-30,28,30,2,1
155,45,0,83,0,44,2,38,39,0,1
156,56,0,81,0,-20,-4,25,102,76,4
157,48,-3,109,-6,46,0,61,62,2,1
158,37,0,83,0,34,5,46,49,4,1
159,50,-4,83,0,50,0,33,34,2,1
160,47,-2,75,0,46,0,28,28,0,1
161,48,1,81,-1,46,0,33,34,2,1
162,55,0,82,0,-42,-9,26,126,100,4
163,50,3,107,0,50,0,57,58,0,1
164,38,0,102,-4,34,0,65,69,4,1
165,37,0,106,17,28,0,69,77,8,1
166,37,0,77,0,-6,-19,41,85,44,1
167,37,0,79,0,26,-22,42,53,12,1
168,43,0,84,0,44,13,41,41,0,1
169,36,-1,81,0,36,0,45,45,0,1
170,45,1,80,0,46,31,35,34,0,1
171,55,0,78,0,0,-3,23,78,56,4
172,58,5,88,0,56,0,30,31,2,1
173,48,0,88,-4,46,0,40,41,2,1
174,105,-1,106,2,70,0,2,36,34,5
175,54,-1,86,-1,54,-2,32,32,0,1
176,56,4,96,0,52,10,40,44,4,4
177,79,2,83,0,-42,-19,4,126,122,5
178,37,0,97,0,24,-30,60,73,14,1
179,46,-3,109,2,46,0,63,63,0,1
180,37,0,78,0,16,-11,42,63,22,1
181,37,0,78,0,12,-10,41,65,24,1
182,56,0,78,5,-22,0,22,101,80,4
183,55,0,83,5,-24,0,27,108,82,4
184,54,2,80,0,54,0,26,26,0,1
185,55,0,77,-2,28,0,21,48,28,4
186,37,0,104,-9,28,0,67,75,8,1
187,55,-1,79,0,16,0,23,63,40,4
188,43,-3,86,0,42,-16,42,44,2,1
189,41,-1,89,0,38,-14,48,50,2,1
190,39,0,107,-2,38,0,68,68,0,1
191,46,0,107,0,46,4,61,60,0,1
192,37,4,76,0,34,-10,39,43,4,1
193,44,1,76,0,44,8,32,32,0,1
194,53,0,79,0,54,14,26,24,0,1
195,44,0,81,-1,44,5,37,37,0,1
196,56,3,99,0,38,0,43,60,18,4
197,56,0,93,-7,50,0,37,44,6,4
198,37,0,75,-2,34,0,38,41,2,1
199,52,4,84,-1,52,-2,31,32,0,1
200,80,0,85,6,-40,10,5,126,122,5
201,37,0,76,0,36,4,39,40,2,1
202,55,0,92,0,-4,22,36,97,60,4
203,44,2,75,0,44,11,31,31,0,1
204,43,-5,83,0,42,-9,39,41,2,1
205,41,-1,76,0,38,-24,35,37,2,1
206,45,0,86,0,44,-10,41,42,2,1
207,55,0,77,0,6,-11,22,72,50,4
208,67,-2,110,0,68,0,43,43,0,1
209,37,-67,106,0,36,31,69,69,0,1
210,56,0,108,0,54,-14,52,53,2,1
211,42,0,86,-3,42,0,44,44,0,1
212,56,0,84,0,54,-19,28,30,2,1
213,38,2,80,0,38,4,42,41,0,1
214,45,0,86,0,44,-3,41,42,2,1
215,44,0,83,-1,44,0,38,39,0,1
216,45,-2,83,0,44,-7,37,39,2,1
217,53,-1,88,0,54,4,35,34,0,1
218,51,0,83,0,52,19,31,31,0,1
219,41,0,81,0,38,-3,41,43,2,1
220,46,0,88,0,46,0,41,41,0,1
221,43,0,77,0,42,0,34,36,2,1
222,45,2,76,-3,44,-5,31,32,0,1
223,41,1,97,0,42,4,55,55,0,1
224,37,0,81,2,26,0,44,55,10,1
225,83,0,86,0,-4,0,3,92,88,5
226,56,0,81,4,-22,0,25,104,80,4
227,43,0,87,0,42,-6,44,46,2,1
228,56,4,98,-4,42,0,42,57,14,4
229,46,2,78,0,46,9,32,32,0,1
230,37,0,79,0,26,-4,42,53,12,1
231,43,-1,83,0,42,-6,39,41,2,1
232,37,0,83,1,24,0,46,59,14,1
233,55,0,95,-2,50,0,40,46,6,4
234,56,3,89,0,56,0,33,32,0,1
235,37,0,78,0,0,-11,42,78,36,1
236,48,1,87,-6,46,-4,39,41,2,1
237,37,0,90,0,30,9,53,59,6,1
238,55,0,96,0,46,9,41,50,8,4
239,51,-3,84,4,52,1,33,32,0,1
240,37,0,78,0,12,11,41,65,24,1
241,37,0,97,-6,34,0,59,63,4,1
242,45,-1,77,2,44,0,32,33,0,1
243,49,0,84,0,50,18,35,35,0,1
244,53,0,81,4,52,-22,28,29,2,1
245,37,2,90,0,28,0,53,62,8,1
246,37,0,77,1,36,0,41,41,0,1
247,70,57,82,0,-42,-4,12,126,114,2
248,61,-2,111,0,60,0,50,52,2,1
249,59,0,86,0,60,21,28,27,0,1
250,49,0,95,3,50,4,46,46,0,1
251,45,2,86,6,44,0,41,42,2,1
252,45,0,79,0,46,6,33,32,0,1
253,56,0,78,0,44,1,22,34,12,4
254,55,-3,96,0,54,-3,41,42,2,1
255,49,0,78,0,50,3,29,29,0,1
256,39,3,77,0,38,0,38,38,0,1
257,55,-1,79,-8,20,-13,23,58,34,4
258,56,0,86,0,56,15,31,30,0,1
259,37,0,81,0,18,-26,44,63,18,1
260,41,0,82,-2,38,-3,41,43,2,1
261,45,-3,88,0,44,0,44,44,0,1
262,37,0,83,0,8,24,46,75,30,1
263,43,0,77,0,42,-8,34,36,2,1
264,84,6,89,0,6,-6,5,84,78,5
265,37,0,79,-1,6,-23,43,74,32,1
266,37,0,81,0,38,7,43,42,0,1
267,43,0,77,0,42,-19,34,35,2,1
268,56,-1,98,4,50,23,42,49,6,4
269,50,1,78,-2,50,0,28,29,2,1
270,39,3,86,0,38,0,48,48,0,1
271,43,0,81,0,42,-10,37,39,2,1
272,37,0,79,0,36,9,42,43,2,1
273,58,-4,91,0,56,0,33,34,0,1
274,45,0,93,2,44,0,49,50,0,1
275,38,3,76,0,38,8,38,37,0,1
276,37,0,79,-3,36,-1,41,43,2,1
277,79,6,83,1,-40,13,4,124,120,5
278,36,-1,76,0,36,0,39,39,0,1
279,85,-3,88,0,2,-25,3,86,82,5
280,37,3,77,0,36,0,41,41,0,1
281,37,0,77,0,26,-19,41,52,10,1
282,45,0,79,0,46,14,34,33,0,1
283,54,4,77,0,28,0,23,48,26,4
284,43,-5,77,0,44,19,34,33,0,1
285,41,0,83,2,38,-1,42,44,2,1
286,43,0,77,10,42,-34,34,36,2,1
287,56,2,81,4,-4,0,25,86,62,4
288,55,0,82,0,-32,9,26,115,90,4
289,37,0,103,0,24,16,66,80,14,1
290,50,1,90,3,50,0,39,41,2,1
291,45,0,84,8,44,-8,39,41,2,1
292,48,0,89,4,46,-7,41,42,2,1
293,85,0,88,-3,6,0,3,83,80,5
294,47,-2,106,0,46,0,59,60,0,1
295,37,-6,78,0,10,0,42,68,26,1
296,37,-38,106,-104,30,-17,69,75,6,3
297,58,0,91,2,56,0,33,34,2,1
298,46,0,78,-7,46,5,32,32,0,1
299,55,0,95,-2,50,-10,40,46,6,4
300,56,0,82,0,56,10,26,25,0,1
301,55,0,92,0,46,-3,37,46,8,4
302,39,-2,86,0,38,0,46,47,0,1
303,51,2,81,-5,50,0,30,32,2,1
304,37,0,75,0,20,11,38,54,16,1
305,41,-2,80,0,38,-20,39,41,2,1
306,53,0,86,0,52,-10,33,34,2,1
307,46,2,88,0,46,3,42,41,0,1
308,37,0,78,0,6,-4,41,73,32,1
309,44,0,79,-2,44,0,35,35,0,1
310,38,-3,76,0,38,0,38,37,0,1
311,52,4,91,0,52,0,38,39,0,1
312,37,0,93,0,16,4,55,77,22,1
313,56,0,77,0,-22,23,21,100,80,4
314,44,4,82,-7,44,1,38,38,0,1
315,37,0,79,-4,24,0,42,55,14,1
316,46,0,87,-7,46,0,41,41,0,1
317,52,-3,86,0,52,-4,33,34,0,1
318,41,0,79,0,38,0,39,41,2,1
319,56,0,80,0,54,-15,24,26,2,1
320,82,1,86,0,-6,0,3,94,90,5
321,60,-5,111,0,60,0,50,51,2,1
322,44,1,88,0,44,4,44,44,0,1
323,46,1,87,0,46,7,41,41,0,1
324,52,-3,88,0,52,0,35,36,0,1
325,37,0,78,0,-2,-6,42,81,40,1
326,43,0,78,-7,42,0,35,37,2,1
327,37,0,84,0,18,-25,47,66,18,1
328,42,-4,85,0,42,0,43,44,2,1
329,43,0,79,3,42,0,37,38,2,1
330,78,-2,82,0,-40,0,4,123,120,5
331,48,0,88,0,46,0,39,41,2,1
332,55,0,90,0,54,0,36,36,0,1
